"Time (ms)","Recording (a.u.)"
3.687639683E0,1.869585831E-3
3.708473806E0,2.382905455E-3
3.729307928E0,2.600512467E-3
3.750142051E0,2.703299513E-3
3.770976173E0,2.871955046E-3
3.791810296E0,2.965935040E-3
3.812644418E0,2.877909457E-3
3.833478541E0,2.775504719E-3
3.854312663E0,2.782178577E-3
3.875146786E0,2.736947499E-3
3.895980908E0,2.611591248E-3
3.916815031E0,2.703140024E-3
3.937649153E0,3.034155583E-3
3.958483276E0,3.381914459E-3
3.979317398E0,3.811466508E-3
4.000151521E0,4.437983036E-3
4.020985643E0,5.044291727E-3
4.041819766E0,5.494431593E-3
4.062653888E0,5.988748744E-3
4.083488011E0,6.660190877E-3
4.104322133E0,7.429768331E-3
4.125156256E0,8.021971211E-3
4.145990378E0,8.197292686E-3
4.166824501E0,8.031754754E-3
4.187658623E0,7.689641323E-3
4.208492746E0,7.260848302E-3
4.229326868E0,6.608135998E-3
4.250160991E0,5.676334724E-3
4.270995113E0,4.747327883E-3
4.291829236E0,3.788948990E-3
4.312663358E0,2.688797191E-3
4.333497481E0,1.506171422E-3
4.354331603E0,1.270775101E-4
4.375165726E0,-1.518073957E-3
4.395999848E0,-3.439367749E-3
4.416833971E0,-5.413053092E-3
4.437668093E0,-7.073799148E-3
4.458502216E0,-8.422919549E-3
4.479336338E0,-9.485679679E-3
4.500170461E0,-9.980313480E-3
4.521004584E0,-9.820200503E-3
4.541838706E0,-9.511924349E-3
4.562672829E0,-9.438261390E-3
4.583506951E0,-9.364722297E-3
4.604341074E0,-9.098201990E-3
4.625175196E0,-8.824665099E-3
4.646009319E0,-8.689249866E-3
4.666843441E0,-8.460702375E-3
4.687677564E0,-7.889606059E-3
4.708511686E0,-7.189848460E-3
4.729345809E0,-6.709546782E-3
4.750179931E0,-6.497228984E-3
4.771014054E0,-6.217834074E-3
4.791848176E0,-5.583819933E-3
4.812682299E0,-5.083444528E-3
4.833516421E0,-5.162316374E-3
4.854350544E0,-5.503433291E-3
4.875184666E0,-5.618512165E-3
4.896018789E0,-5.188251380E-3
4.916852911E0,-4.387047142E-3
4.937687034E0,-3.522534156E-3
4.958521156E0,-2.829025965E-3
4.979355279E0,-2.489670878E-3
5.000189401E0,-2.149592154E-3
5.021023524E0,-1.597592724E-3
5.041857646E0,-9.628511034E-4
5.062691769E0,-4.602962290E-4
5.083525891E0,-3.541365149E-4
5.104360014E0,-3.253323957E-4
5.125194136E0,-5.548793706E-5
5.146028259E0,4.017181927E-4
5.166862381E0,9.338236996E-4
5.187696504E0,1.291626715E-3
5.208530626E0,1.349795610E-3
5.229364749E0,1.070644241E-3
5.250198871E0,6.041590823E-4
5.271032994E0,9.699845396E-5
5.291867116E0,-6.004310562E-4
5.312701239E0,-1.553394017E-3
5.333535361E0,-2.609046176E-3
5.354369484E0,-3.486216767E-3
5.375203606E0,-4.174727947E-3
5.396037729E0,-4.851835314E-3
5.416871851E0,-5.507282913E-3
5.437705974E0,-5.971928127E-3
5.458540096E0,-5.965748336E-3
5.479374219E0,-5.559190176E-3
5.500208341E0,-5.009918939E-3
5.521042464E0,-4.405834712E-3
5.541876586E0,-3.836644115E-3
5.562710709E0,-3.198106308E-3
5.583544831E0,-2.260147361E-3
5.604378954E0,-8.950649062E-4
5.625213076E0,6.931879325E-4
5.646047199E0,2.066434361E-3
5.666881321E0,3.274835646E-3
5.687715444E0,4.623329267E-3
5.708549566E0,6.059817504E-3
5.729383689E0,7.273654453E-3
5.750217811E0,8.148832247E-3
5.771051934E0,9.004883468E-3
5.791886056E0,1.010670885E-2
5.812720179E0,1.118415594E-2
5.833554301E0,1.178104430E-2
5.854388424E0,1.179195009E-2
5.875222546E0,1.118895039E-2
5.896056669E0,9.983420372E-3
5.916890791E0,8.495671675E-3
5.937724914E0,7.121200208E-3
5.958559036E0,5.956731737E-3
5.979393159E0,4.542754963E-3
6.000227281E0,2.649114933E-3
6.021061404E0,8.866952267E-4
6.041895526E0,-2.605693880E-4
6.062729649E0,-9.059143486E-4
6.083563771E0,-1.329062041E-3
6.104397894E0,-1.799367135E-3
6.125232016E0,-2.380763413E-3
6.146066139E0,-3.015605500E-3
6.166900261E0,-3.482188797E-3
6.187734384E0,-3.415090032E-3
6.208568506E0,-2.882801229E-3
6.229402629E0,-2.138968324E-3
6.250236751E0,-1.256575692E-3
6.271070874E0,-9.215518367E-5
6.291904996E0,1.498498605E-3
6.312739119E0,3.223307431E-3
6.333573241E0,4.819648340E-3
6.354407364E0,6.450690329E-3
6.375241486E0,8.237982169E-3
6.396075609E0,9.734940715E-3
6.416909731E0,1.054248773E-2
6.437743854E0,1.097808965E-2
6.458577976E0,1.161281578E-2
6.479412099E0,1.257107779E-2
6.500246221E0,1.318780519E-2
6.521080344E0,1.304583997E-2
6.541914466E0,1.252551284E-2
6.562748589E0,1.202797703E-2
6.583582711E0,1.165749878E-2
6.604416834E0,1.133161969E-2
6.625250956E0,1.105236635E-2
6.646085079E0,1.067618094E-2
6.666919201E0,9.913713671E-3
6.687753324E0,8.776376024E-3
6.708587446E0,7.579649333E-3
6.729421569E0,6.579402834E-3
6.750255692E0,5.648887716E-3
6.771089814E0,4.639520310E-3
6.791923937E0,3.561809659E-3
6.812758059E0,2.512301784E-3
6.833592182E0,1.625924371E-3
6.854426304E0,9.538226295E-4
6.875260427E0,5.556421238E-4
6.896094549E0,3.041380842E-4
6.916928672E0,1.306453487E-5
6.937762794E0,-4.005415831E-4
6.958596917E0,-9.791093180E-4
6.979431039E0,-1.545531675E-3
